STE_NAME21,Year12_rate
Australian Capital Territory,79.0
Australian Capital Territory,83.0
Australian Capital Territory,86.0
Australian Capital Territory,88.0
Australian Capital Territory,83.0
Australian Capital Territory,81.0
Australian Capital Territory,83.0
Australian Capital Territory,85.0
Australian Capital Territory,81.0
Australia,77.0
Australia,72.0
Australia,74.0
Australia,56.0
Australia,81.0
Australia,75.0
Australia,71.0
Australia,76.0
Australia,83.0
Australia,82.0
Australia,87.0
Australia,64.0
Australia,85.0
Australia,83.0
Australia,81.0
Australia,83.0
Australia,80.0
Australia,77.0
Australia,80.0
Australia,60.0
Australia,83.0
Australia,79.0
Australia,76.0
Australia,79.0
New South Wales,71.0
New South Wales,62.0
New South Wales,63.0
New South Wales,83.0
New South Wales,77.0
New South Wales,66.0
New South Wales,65.0
New South Wales,69.0
New South Wales,78.0
New South Wales,75.0
New South Wales,78.0
New South Wales,87.0
New South Wales,82.0
New South Wales,75.0
New South Wales,77.0
New South Wales,78.0
New South Wales,74.0
New South Wales,68.0
New South Wales,70.0
New South Wales,85.0
New South Wales,79.0
New South Wales,70.0
New South Wales,71.0
New South Wales,73.0
Victoria,78.0
Victoria,74.0
Victoria,75.0
Victoria,83.0
Victoria,75.0
Victoria,73.0
Victoria,77.0
Victoria,81.0
Victoria,85.0
Victoria,89.0
Victoria,84.0
Victoria,82.0
Victoria,80.0
Victoria,82.0
Victoria,80.0
Victoria,79.0
Victoria,82.0
Victoria,84.0
Victoria,79.0
Victoria,76.0
Victoria,80.0
Queensland,69.0
Queensland,68.0
Queensland,67.0
Queensland,48.0
Queensland,69.0
Queensland,69.0
Queensland,64.0
Queensland,68.0
Queensland,75.0
Queensland,77.0
Queensland,80.0
Queensland,67.0
Queensland,73.0
Queensland,79.0
Queensland,75.0
Queensland,76.0
Queensland,72.0
Queensland,72.0
Queensland,73.0
Queensland,57.0
Queensland,71.0
Queensland,74.0
Queensland,69.0
Queensland,72.0
South Australia,84.0
South Australia,78.0
South Australia,92.0
South Australia,83.0
South Australia,89.0
South Australia,87.0
South Australia,93.0
South Australia,90.0
South Australia,98.0
South Australia,95.0
South Australia,100.0
South Australia,97.0
South Australia,89.0
South Australia,84.0
South Australia,95.0
South Australia,89.0
South Australia,94.0
South Australia,92.0
Western Australia,75.0
Western Australia,80.0
Western Australia,74.0
Western Australia,70.0
Western Australia,76.0
Western Australia,75.0
Western Australia,71.0
Western Australia,75.0
Western Australia,80.0
Western Australia,88.0
Western Australia,87.0
Western Australia,68.0
Western Australia,79.0
Western Australia,85.0
Western Australia,75.0
Western Australia,80.0
Western Australia,77.0
Western Australia,84.0
Western Australia,80.0
Western Australia,69.0
Western Australia,78.0
Western Australia,80.0
Western Australia,73.0
Western Australia,77.0
Tasmania,58.0
Tasmania,50.0
Tasmania,31.0
Tasmania,70.0
Tasmania,57.0
Tasmania,49.0
Tasmania,55.0
Tasmania,64.0
Tasmania,66.0
Tasmania,48.0
Tasmania,83.0
Tasmania,64.0
Tasmania,59.0
Tasmania,65.0
Tasmania,61.0
Tasmania,58.0
Tasmania,39.0
Tasmania,76.0
Tasmania,61.0
Tasmania,54.0
Tasmania,60.0
Northern Territory,61.0
Northern Territory,27.0
Northern Territory,65.0
Northern Territory,57.0
Northern Territory,23.0
Northern Territory,46.0
Northern Territory,78.0
Northern Territory,27.0
Northern Territory,80.0
Northern Territory,71.0
Northern Territory,25.0
Northern Territory,55.0
Northern Territory,69.0
Northern Territory,27.0
Northern Territory,73.0
Northern Territory,64.0
Northern Territory,24.0
Northern Territory,50.0
Australian Capital Territory,79.0
Australian Capital Territory,81.0
Australian Capital Territory,81.0
Australian Capital Territory,79.0
Australian Capital Territory,80.0
Australian Capital Territory,84.0
Australian Capital Territory,81.0
Australian Capital Territory,80.0
Australian Capital Territory,79.0
Australian Capital Territory,82.0
Australian Capital Territory,81.0
Australian Capital Territory,79.0
Australia,74.0
Australia,68.0
Australia,69.0
Australia,59.0
Australia,78.0
Australia,71.0
Australia,68.0
Australia,72.0
Australia,80.0
Australia,79.0
Australia,84.0
Australia,66.0
Australia,81.0
Australia,80.0
Australia,78.0
Australia,80.0
Australia,77.0
Australia,73.0
Australia,76.0
Australia,62.0
Australia,80.0
Australia,75.0
Australia,73.0
Australia,76.0
New South Wales,71.0
New South Wales,62.0
New South Wales,57.0
New South Wales,45.0
New South Wales,75.0
New South Wales,67.0
New South Wales,64.0
New South Wales,68.0
New South Wales,78.0
New South Wales,73.0
New South Wales,71.0
New South Wales,61.0
New South Wales,82.0
New South Wales,75.0
New South Wales,75.0
New South Wales,77.0
New South Wales,74.0
New South Wales,67.0
New South Wales,64.0
New South Wales,53.0
New South Wales,78.0
New South Wales,71.0
New South Wales,69.0
New South Wales,73.0
Victoria,83.0
Victoria,72.0
Victoria,76.0
Victoria,85.0
Victoria,81.0
Victoria,73.0
Victoria,80.0
Victoria,84.0
Victoria,82.0
Victoria,84.0
Victoria,87.0
Victoria,84.0
Victoria,80.0
Victoria,84.0
Victoria,83.0
Victoria,77.0
Victoria,80.0
Victoria,86.0
Victoria,82.0
Victoria,76.0
Victoria,82.0
Queensland,68.0
Queensland,63.0
Queensland,67.0
Queensland,51.0
Queensland,70.0
Queensland,69.0
Queensland,61.0
Queensland,67.0
Queensland,74.0
Queensland,76.0
Queensland,76.0
Queensland,68.0
Queensland,74.0
Queensland,78.0
Queensland,72.0
Queensland,75.0
Queensland,71.0
Queensland,69.0
Queensland,71.0
Queensland,58.0
Queensland,72.0
Queensland,73.0
Queensland,66.0
Queensland,71.0
South Australia,84.0
South Australia,74.0
South Australia,90.0
South Australia,81.0
South Australia,76.0
South Australia,81.0
South Australia,90.0
South Australia,95.0
South Australia,95.0
South Australia,90.0
South Australia,88.0
South Australia,90.0
South Australia,87.0
South Australia,84.0
South Australia,93.0
South Australia,86.0
South Australia,82.0
South Australia,86.0
Western Australia,72.0
Western Australia,69.0
Western Australia,68.0
Western Australia,64.0
Western Australia,75.0
